"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "JavaScript", "TypeScript JSX", "Python", "pip requirements", "XML", "Gradle", "Objective-C", "C++", "Properties", "Java", "Makefile", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\app\(app)\shared\batch\[code].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\mobile system manager\textile-mobile\app\(app)\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -95
"c:\mobile system manager\textile-mobile\app\(app)\shared\tasks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 193
"c:\mobile system manager\textile-mobile\app\(app)\vision.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 298
"c:\mobile system manager\textile-mobile\app\(auth)\NodePairingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 336
"c:\mobile system manager\textile-mobile\app\(auth)\pair.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 155
"c:\mobile system manager\textile-mobile\app\(auth)\pairing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\mobile system manager\textile-mobile\app\(mesh)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\mobile system manager\textile-mobile\app\(mesh)\messenger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 80, 658
"c:\mobile system manager\textile-mobile\app\(mesh)\pair.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 357
"c:\mobile system manager\textile-mobile\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"c:\mobile system manager\textile-mobile\app\dashboard\downloads\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\mobile system manager\textile-mobile\app\license-expired.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 121
"c:\mobile system manager\textile-mobile\assets\audio\noxis-voice-model\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\mobile system manager\textile-mobile\assets\audio\noxis-voice-model\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\mobile system manager\textile-mobile\docs\SMOKE_TEST.md", "Markdown", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 96
"c:\mobile system manager\textile-mobile\metro.config.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\mobile system manager\textile-mobile\package-lock.json", "JSON", 0, 0, 0, 0, -232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -232
"c:\mobile system manager\textile-mobile\package.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\mobile system manager\textile-mobile\src\components\BridgeStatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"c:\mobile system manager\textile-mobile\src\components\CustomNumpad.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 97
"c:\mobile system manager\textile-mobile\src\components\EmergencyButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 104
"c:\mobile system manager\textile-mobile\src\components\HandshakeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 235
"c:\mobile system manager\textile-mobile\src\components\IndustrialErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 174
"c:\mobile system manager\textile-mobile\src\components\IndustrialSyncIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 174
"c:\mobile system manager\textile-mobile\src\components\LockedOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\mobile system manager\textile-mobile\src\components\QuickActionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 114
"c:\mobile system manager\textile-mobile\src\components\TacticalButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 115
"c:\mobile system manager\textile-mobile\src\components\TierGate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 42
"c:\mobile system manager\textile-mobile\src\components\UpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 164
"c:\mobile system manager\textile-mobile\src\components\alerts\RedAlertOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 215
"c:\mobile system manager\textile-mobile\src\components\charts\TelemetryDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 135
"c:\mobile system manager\textile-mobile\src\components\dashboards\EliteDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 306
"c:\mobile system manager\textile-mobile\src\components\dashboards\LiteDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 273
"c:\mobile system manager\textile-mobile\src\components\gis\PathFinderView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 123
"c:\mobile system manager\textile-mobile\src\components\shell\BridgeStatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
"c:\mobile system manager\textile-mobile\src\components\shell\PresenceGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\CartesianChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 66, 779
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\AnimatedPath.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 99
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\Area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\AreaRange.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 83
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\Bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\BarGraphLabels.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 105
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\BarGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 103
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\CartesianAxis.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 268
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\Frame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 106
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\Line.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\Scatter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 97
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\StackedArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\StackedBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\XAxis.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 184
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\YAxis.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 110
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianChartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 57
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianTransformContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 111
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useAreaPath.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBarGroupPaths.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBarPath.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBarWidth.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 59
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBuildChartAxis.ts", "TypeScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 190
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartPressState.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 83
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartTransformState.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 53
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useLinePath.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedAreaPaths.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 156
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedBarPaths.ts", "TypeScript", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 186
