"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "pip requirements", "Python", "MS SQL", "JavaScript", "Properties", "C++", "Makefile", "Gradle", "XML", "Objective-C", "Batch", "Java", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\index.tsx", "TypeScript JSX", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 244
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\order\[id].tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 230
"c:\mobile system manager\textile-mobile\app\(app)\executive.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\mobile system manager\textile-mobile\app\(app)\finance\page.tsx", "TypeScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 148
"c:\mobile system manager\textile-mobile\app\(app)\index.tsx", "TypeScript JSX", 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 334
"c:\mobile system manager\textile-mobile\app\(app)\inward\index.tsx", "TypeScript JSX", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 235
"c:\mobile system manager\textile-mobile\app\(app)\khata\new\index.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 198
"c:\mobile system manager\textile-mobile\app\(app)\manager\index.tsx", "TypeScript JSX", 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 369
"c:\mobile system manager\textile-mobile\app\(app)\manager\new-order.tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 232
"c:\mobile system manager\textile-mobile\app\(app)\messages.tsx", "TypeScript JSX", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 251
"c:\mobile system manager\textile-mobile\app\(app)\messages\[id].tsx", "TypeScript JSX", 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 310
"c:\mobile system manager\textile-mobile\app\(app)\messages\index.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 208
"c:\mobile system manager\textile-mobile\app\(app)\notifications\index.tsx", "TypeScript JSX", 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 315
"c:\mobile system manager\textile-mobile\app\(app)\production\audit-result.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 129
"c:\mobile system manager\textile-mobile\app\(app)\production\index.tsx", "TypeScript JSX", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 202
"c:\mobile system manager\textile-mobile\app\(app)\production\inward.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[code].tsx", "TypeScript JSX", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 278
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[id].tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 167
"c:\mobile system manager\textile-mobile\app\(app)\production\log\index.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 152
