"filename", "language", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "Python", "JavaScript", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\CartesianChart.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, -26, 1, 7
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\XAxis.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, -11, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\YAxis.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianChartContext.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianTransformContext.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBarWidth.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBuildChartAxis.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartPressState.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartTransformState.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedAreaPaths.ts", "TypeScript", 0, 0, 0, 13, 0, 0, -13, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedBarPaths.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\utils\curves.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\cartesian\utils\transformInputData.ts", "TypeScript", 0, 0, 0, 28, 0, 0, -28, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\hooks\useAnimatedPath.ts", "TypeScript", 0, 0, 0, 19, 0, 0, -13, 2, 8
"c:\mobile system manager\textile-mobile\src\components\victory\hooks\useFunctionRef.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\PieChart.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\PieLabel.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\PieSliceAngularInset.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\hooks\useSliceAngularInsetPath.ts", "TypeScript", 0, 0, 0, 7, 0, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\hooks\useSlicePath.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\pie\utils\innerRadius.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\polar\PolarChart.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\shared\GestureHandler.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\types.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\utils\findClosestPoint.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\utils\normalizeYAxisTicks.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\utils\tickHelpers.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\victory\utils\transform.ts", "TypeScript", 0, 0, 0, 5, 0, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\src\constants\DesignSystem.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\constants\theme.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useBiometricShield.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useBiometrics.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useCryptoEngine.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useHeartbeat.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useInterval.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useMesh.ts", "TypeScript", 0, 0, 0, 10, 0, 0, -10, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useMessenger.ts", "TypeScript", 0, 0, 0, 8, 0, 0, -9, 0, -1
"c:\mobile system manager\textile-mobile\src\hooks\useScanner.ts", "TypeScript", 0, 0, 0, 11, 0, 0, -11, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useTacticalSync.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
